DOSES		
Tracking_Number	Status	Batch_id
7590866090	unused	1
9050646741	unused	3
1281704039	unused	3
1695739598	unused	3
1900825159	unused	3
5062078108	unused	3
8164716766	unused	3
7855426307	unused	3
4051349299	unused	4
2067616165	unused	4
9701216107	unused	4
2958525109	unused	4
4555138261	unused	4
9361355493	unused	4
1782423104	unused	4
2925360756	unused	4
5968473977	unused	4
7946057471	unused	4
4435704660	used	1
5086668301	used	1
6314270487	used	1
7684442244	used	1
4677851405	used	1
4784854420	used	1
2690534997	used	1
6779668884	used	1
2396918207	used	1
7233260159	used	2
4141300446	used	2
3592289626	used	2
5576314547	used	2
2652557387	used	2
2949512206	used	2
9817453229	used	2
6619395594	used	2
9924790365	used	2
5820871542	used	2
9032911791	used	3
8039575939	used	3
2597202715	used	3
